country,2022_population,2020_population,density_sq_km,growth_rate ,world_%,rank
China,1425869669,1424929781,147/sq_km,0,0.1788,1
Colombia,51913418,50930662,45/sq_km,0.0069,0.0065,28
Comoros,840240,806166,449/sq_km,0.0184,0.0001,163
Costa Rica,5187254,5123105,101/sq_km,0.0052,0.0006,124
Croatia,4025370,4096869,71/sq_km,-0.0073,0.0005,130
Curacao,191332,189288,431/sq_km,0.0043,0,189
Denmark,5888939,5825641,136/sq_km,0.0048,0.0007,115
Djibouti,1124400,1090156,48/sq_km,0.0138,0.0001,160
Ecuador,18045297,17588595,65/sq_km,0.0114,0.0023,67
Egypt,111387000,107465134,111/sq_km,0.0158,0.0139,14
El Salvador,6342225,6292731,301/sq_km,0.0035,0.0008,112
Equatorial Guinea,1684038,1596049,60/sq_km,0.0247,0.0002,152
Estonia,1325386,1329444,29/sq_km,-0.002,0.0002,156
Ethiopia,124100764,117190911,112/sq_km,0.0257,0.0155,12
Fiji,931288,920422,51/sq_km,0.0056,0.0001,162
Finland,5541844,5529468,16/sq_km,0.0009,0.0007,118
France,64657146,64480053,117/sq_km,0.0015,0.0081,23
French Polynesia,306955,301920,74/sq_km,0.0074,0,183
Gabon,2399982,2292573,9/sq_km,0.0204,0.0003,146
Gambia,2721293,2573995,253/sq_km,0.025,0.0003,142
Georgia,3740243,3765912,54/sq_km,-0.0036,0.0005,131
Germany,83343468,83328988,233/sq_km,-0.0005,0.0105,19
Gibraltar,32649,32709,"5,442/sq_km",-0.0006,0,219
Greece,10373559,10512232,79/sq_km,-0.0058,0.0013,90
Greenland,56551,56026,0/sq_km,0.004,0,208
Grenada,125523,123663,365/sq_km,0.0066,0,193
Guatemala,17899955,17362718,164/sq_km,0.0134,0.0022,68
Guinea,13935339,13205153,56/sq_km,0.0242,0.0017,75
Guyana,809656,797202,4/sq_km,0.0052,0.0001,164
Haiti,11616951,11306801,417/sq_km,0.012,0.0015,82
Honduras,10468957,10121763,93/sq_km,0.015,0.0013,89
Hong Kong,7488780,7500958,"6,783/sq_km",-0.0008,0.0009,104
Hungary,10096395,9750573,107/sq_km,0.0265,0.0012,94
Iceland,373491,366669,4/sq_km,0.0069,0,179
India,1419419807,1396387127,431/sq_km,0.0068,0.1777,2
Indonesia,275911001,271857970,145/sq_km,0.0064,0.0345,4
Iran,88686589,87290193,54/sq_km,0.0071,0.0111,17
Iraq,44727582,42556984,102/sq_km,0.0221,0.0056,35
Ireland,5031055,4946119,71/sq_km,0.0073,0.0006,125
Israel,9069503,8757489,435/sq_km,0.0155,0.0011,98
Italy,58999517,59500579,196/sq_km,-0.0034,0.0074,25
Jamaica,2826616,2820436,257/sq_km,-0.0001,0.0004,139
Japan,123800541,125244761,328/sq_km,-0.0053,0.0155,11
Jordan,11299564,10928721,126/sq_km,0.0123,0.0014,83
Kazakhstan,19445423,18979243,7/sq_km,0.0105,0.0024,66
Kenya,54271712,51985780,93/sq_km,0.0193,0.0068,27
Kiribati,131824,126463,162/sq_km,0.0183,0,192
Kuwait,4278764,4360444,240/sq_km,0.0044,0.0005,129
Kyrgyzstan,6654969,6424874,33/sq_km,0.0158,0.0008,110
Laos,7553821,7319399,32/sq_km,0.0141,0.0009,103
Latvia,1845832,1897052,29/sq_km,-0.0124,0.0002,151
Lebanon,5459982,5662923,525/sq_km,-0.0184,0.0007,119
